outer_iter,p_penal,p_step,lambda_correction,lambda_penalty,lambda_reference,lambda_effective,compliance,volume_fraction_before,volume_residual_before,volume_fraction,volume_residual,theta_state_change,design_change,compliance_change,mechanics_ksp_its,design_iters,design_ls_evals,design_grad_norm_last,mechanics_message,design_message
1,1.0,0.0,0.0,3.9999999999999982,3.3015193843736057,7.301519384373604,3.895133571901803,0.7999999999999998,0.3999999999999998,0.669430314782794,0.269430314782794,inf,0.3949116359981096,inf,9,20,120,0.0013492743195853735,CONVERGED_RTOL,Maximum number of iterations reached
2,1.0,0.0,10.674352883919322,2.69430314782794,5.061407632201535,18.430063663948797,3.6200385678024025,0.669430314782794,0.269430314782794,0.43632341838671684,0.03632341838671682,0.3949116359981096,0.3998278705683012,0.07062530694296197,9,11,66,0.0011278232847974454,CONVERGED_RTOL,Gradient norm converged
3,1.0,0.0,12.88052440852146,0.3632341838671682,15.370247603842426,28.614006196231053,5.619814258966024,0.43632341838671684,0.03632341838671682,0.3643606216370363,-0.035639378362963714,0.3998278705683012,0.21177474408080418,0.5524183385641701,9,7,42,0.0014159653797591542,CONVERGED_RTOL,Gradient norm converged
4,1.0,0.0,6.30709156989214,-0.35639378362963714,24.683796091819076,30.634493878081578,6.924966449337369,0.3643606216370363,-0.035639378362963714,0.35115172446994425,-0.048848275530055774,0.21177474408080418,0.0956236904595657,0.2322411614029886,9,5,30,0.0011545459564896567,CONVERGED_RTOL,Gradient norm converged
5,1.0,0.0,-8.162038901558565,-0.48848275530055774,27.427966192885084,18.77744453602596,7.165631296606598,0.35115172446994425,-0.048848275530055774,0.3975113812230123,-0.00248861877698775,0.0956236904595657,0.24827081240294255,0.034753214911569456,8,6,36,0.0012111145866698547,CONVERGED_RTOL,Gradient norm converged
6,1.0,0.0,-8.981131921744954,-0.0248861877698775,19.73419039292456,10.728172283409728,5.990178446712644,0.3975113812230123,-0.00248861877698775,0.46977452504904954,0.06977452504904952,0.24827081240294255,0.2515925933718131,0.1640403756819876,9,9,54,0.00118634248551724,CONVERGED_RTOL,Gradient norm converged
7,1.0,0.0,7.54219322098097,0.6977452504904952,12.42955644510615,20.669494916577616,4.842147790391237,0.46977452504904954,0.06977452504904952,0.406107078495892,0.006107078495891982,0.2515925933718131,0.166344038980228,0.19165216304222726,9,7,42,0.0011702670682950413,CONVERGED_RTOL,Gradient norm converged
8,1.0,0.0,8.45309254353357,0.06107078495891982,18.25792360962064,26.77208693811313,5.785315371094512,0.406107078495892,0.006107078495891982,0.3663190564959905,-0.03368094350400952,0.166344038980228,0.12799296466361937,0.19478289831939832,9,5,30,0.0011403341454557534,CONVERGED_RTOL,Gradient norm converged
9,1.0,0.0,1.0737634203797182,-0.3368094350400952,24.40145098460056,25.138404969940183,6.616244241966843,0.3663190564959905,-0.03368094350400952,0.3665384806953413,-0.03346151930465874,0.12799296466361937,0.026153871278623658,0.14362723854674306,9,1,6,0.0010207385466014605,CONVERGED_RTOL,Gradient norm converged
10,1.0,0.0,-8.72435205781503,-0.3346151930465874,24.335967461269817,15.277000210408199,6.601146213814869,0.3665384806953413,-0.03346151930465874,0.4149014157358953,0.014901415735895263,0.026153871278623658,0.18697290305054734,0.002281963543033574,7,5,30,0.0011321569495237015,CONVERGED_RTOL,Gradient norm converged
11,1.0,0.2,-4.372667636107817,0.14901415735895263,17.221543985406328,12.997890506657463,5.6036119408599205,0.4149014157358953,0.014901415735895263,0.43903534295611757,0.03903534295611755,0.18697290305054734,0.07743318192945671,0.15111531249941262,9,5,30,0.001041729339144553,CONVERGED_RTOL,Gradient norm converged
12,1.2,0.2,3.694318872342576,0.39035342956117547,24.87495362991668,28.95962593182043,6.73070687259988,0.43903534295611757,0.03903534295611755,0.41378187899855834,0.013781878998558317,0.07743318192945671,0.09041615649588948,0.20113722071321688,9,3,18,0.0011085226080229597,CONVERGED_RTOL,Gradient norm converged
13,1.4,0.2,7.808202084609704,0.13781878998558317,47.118841912172705,55.06486278676799,9.617039754392666,0.41378187899855834,0.013781878998558317,0.38482698063943926,-0.015173019360560758,0.09041615649588948,0.12782716544545503,0.4288305725425059,10,6,36,0.0010452112627732893,CONVERGED_RTOL,Gradient norm converged
14,1.5999999999999999,0.2,-0.7710191223574725,-0.15173019360560758,90.95026371575184,90.02751439978877,14.487060499734516,0.38482698063943926,-0.015173019360560758,0.3738500727188595,-0.026149927281140517,0.12782716544545503,0.106362938485969,0.5063949894890917,11,8,48,0.0010220253727122894,CONVERGED_RTOL,Gradient norm converged
15,1.7999999999999998,0.2,-29.311132510767038,-0.26149927281140517,150.11528341633718,120.54265163275873,20.321961892717926,0.3738500727188595,-0.026149927281140517,0.381333483645072,-0.018666516354927998,0.106362938485969,0.10145398942748866,0.4027664130408193,13,11,66,0.0011311296310790664,CONVERGED_RTOL,Gradient norm converged
16,1.9999999999999998,0.2,-62.936685226955554,-0.18666516354927998,200.38092372680097,137.25757333629613,25.190585307946357,0.381333483645072,-0.018666516354927998,0.40106249069697775,0.0010624906969777248,0.10145398942748866,0.10869798784245077,0.23957447813997867,14,18,108,0.001169110623452561,CONVERGED_RTOL,Gradient norm converged
17,2.1999999999999997,0.0,-60.381850819217206,0.010624906969777248,225.46181707332667,165.09059116107926,28.17310725220859,0.40106249069697775,0.0010624906969777248,0.41529734591926437,0.015297345919264349,0.10869798784245077,0.0904340240389077,0.11839827887291686,14,20,120,0.0012510027089187082,CONVERGED_RTOL,Maximum number of iterations reached
18,2.1999999999999997,0.0,-18.99424193093826,0.1529734591926435,167.25923366743345,148.41796519568783,24.480578211400065,0.41529734591926437,0.015297345919264349,0.4202709824797215,0.020270982479721478,0.0904340240389077,0.06328457202082019,0.1310657361203584,13,20,120,0.0010191446229091698,CONVERGED_RTOL,Maximum number of iterations reached
19,2.1999999999999997,0.0,21.691866011991948,0.20270982479721478,148.07914320683986,169.97371904362902,23.068582804361576,0.4202709824797215,0.020270982479721478,0.4067975404995394,0.006797540499539401,0.06328457202082019,0.059654195313063936,0.05767818859690798,13,14,84,0.001224102998069557,CONVERGED_RTOL,Gradient norm converged
