label,mesh,ranks,result,outer_iterations,final_compliance,final_volume_fraction,wall_time_s
serial_reference,192x96,1,completed,121,4.155705577015529,0.40000000000006014,10.03310025704559
parallel_final,768x384,32,completed,66,9.907412786638698,0.37486603251409445,25.104842834058218
parallel_scaling_r1,768x384,1,completed,65,9.155944337312917,0.38837346873181255,208.19779365404975
parallel_scaling_r2,768x384,2,completed,72,8.947270662878754,0.39320397728290735,138.43909102096222
parallel_scaling_r4,768x384,4,completed,69,9.168370179786654,0.3850420793710554,95.70829529000912
parallel_scaling_r8,768x384,8,completed,67,9.21781421468167,0.3931804880224135,82.13993529195432
parallel_scaling_r16,768x384,16,completed,66,9.685915006817984,0.3798075766989981,43.32807127991691
parallel_scaling_r32,768x384,32,completed,66,9.907412786638698,0.37486603251409445,25.104842834058218
