ranks,result,outer_iterations,final_p_penal,final_volume_fraction,final_compliance,wall_time_s,solve_time_s,speedup_vs_1
1,completed,65,4.200000000000001,0.38837346873181255,9.155944337312917,208.19779365404975,199.98095915315207,1.0
2,completed,72,5.600000000000002,0.39320397728290735,8.947270662878754,138.43909102096222,133.7241359569598,1.5038945439371945
4,completed,69,4.600000000000001,0.3850420793710554,9.168370179786654,95.70829529000912,92.84472499100957,2.175336975997558
8,completed,67,7.0000000000000036,0.3931804880224135,9.21781421468167,82.13993529195432,80.1424518020358,2.5346719949807768
16,completed,66,5.8000000000000025,0.3798075766989981,9.685915006817984,43.32807127991691,41.91252227197401,4.805147967676834
32,completed,66,6.600000000000003,0.37486603251409445,9.907412786638698,25.104842834058218,23.68675238301512,8.293132724639106
