level,fenics_custom,jax_petsc_element,jax_petsc_local_sfd
5,-7.942968702633121,-7.942968710632966,-7.942968710632966
6,-7.954563552137448,-7.954563580945161,-7.954563580945161
7,-7.958292412278825,-7.958292393461013,-7.958292393461014
8,-7.959556157608709,-7.95955618995357,-7.95955618995357
9,-7.960004826791758,-7.960004375768515,-7.960004375768515
