ranks,result,outer_iterations,outer_stall_converged,final_p,final_compliance,final_volume,wall_time,setup_time,solve_time,sum_mech_assemble,sum_mech_build_v,sum_mech_elem,sum_mech_scatter,sum_mech_coo,sum_mech_solve,sum_design_grad,sum_design_ls,sum_design_update,sum_design_iter,sum_mech_ksp_its,sum_design_gd_its,sum_design_ls_evals,mean_mech_ksp_its,mean_design_gd_its,mean_design_ls_evals,u_dofs,z_dofs,total_dofs
1,completed,65,True,4.200000000000001,9.155944337312917,0.38837346873181255,180.37532404996455,6.452818072983064,173.92250597698148,12.528667266713455,0.06644576962571591,3.1903214673511684,7.882115761516616,1.3886896532494575,107.28276448696852,8.079804584151134,33.77347283938434,0.05876478517893702,42.08031529362779,2425,604,3624,37.30769230769231,9.292307692307693,55.753846153846155,591360,278641,870001
2,completed,72,True,5.600000000000002,8.947270662878754,0.39320397728290735,122.19791867292952,3.802386459079571,118.39553221384995,8.260621571913362,0.05711892817635089,2.2908494629664347,4.930252583464608,0.9812225222121924,69.65701086854097,4.572017880855128,27.774949102662504,0.04409164690878242,32.518288238788955,2544,564,3384,35.333333333333336,7.833333333333333,47.0,591360,278641,870001
4,completed,69,True,4.600000000000001,9.168370179849042,0.3850420793693051,89.41403997200541,2.3954093949869275,87.01863057701848,7.025358050945215,0.04068140615709126,1.9571496774442494,4.100486224400811,0.9257659539580345,52.73031242133584,3.440353942802176,18.928112158784643,0.042360521387308836,22.54238339839503,2241,597,3582,32.47826086956522,8.652173913043478,51.91304347826087,591360,278641,870001
8,completed,67,True,7.0000000000000036,9.217814214541574,0.39318048802589356,79.67925097607076,1.7590518760262057,77.92019910004456,6.658194426912814,0.030011954833753407,1.8334990028524771,3.8754766675410792,0.9171551963081583,49.643114219768904,3.1688651273725554,14.863984434865415,0.04005903843790293,18.206004565698095,2247,623,3738,33.53731343283582,9.298507462686567,55.791044776119406,591360,278641,870001
16,completed,66,True,5.8000000000000025,9.685915007114147,0.3798075767072821,41.57671644294169,1.221068597980775,40.35564784496091,3.373677821015008,0.015961961704306304,1.0536728681763634,1.875752188730985,0.42711535037960857,25.960581389721483,1.3986624851822853,7.412680849782191,0.018636819906532764,8.915801118942909,2535,642,3852,38.40909090909091,9.727272727272727,58.36363636363637,591360,278641,870001
32,completed,66,True,6.600000000000003,9.907412786832204,0.3748660325081823,21.269048969028518,1.085295672994107,20.18375329603441,1.809235071646981,0.011429537902586162,0.5326371013652533,1.0441037766868249,0.2200481005711481,10.5799210696714,0.8210566592169926,5.373653779621236,0.005381634458899498,6.278962880955078,2235,632,3792,33.86363636363637,9.575757575757576,57.45454545454545,591360,278641,870001
