ksp_type,ksp_rtol,it,energy,dE,grad_norm,alpha,ksp_its,ls_evals
cg,1e-01,1,68267.08614249602,-68023.42806228864,8548.422147388284,0.125,11,17
cg,1e-01,2,68230.672965707,36.413176789021236,1253067.4384508184,-0.49964995802247814,1,17
cg,1e-01,3,68183.44103725585,47.231928451146814,1253237.4775369887,-0.49964995802247814,1,17
cg,1e-01,4,68160.69683438374,22.74420287211251,1253578.2248390203,-0.49964995802247814,2,17
cg,1e-01,5,68051.99354952337,108.70328486037033,1253940.3300323982,-0.49964995802247814,3,17
cg,1e-01,6,68024.07204878701,27.921500736352755,1252299.5667256855,-0.49964995802247814,2,17
cg,1e-01,7,67964.84146031649,59.23058847052744,1252718.8290225314,-0.49964995802247814,3,17
cg,1e-01,8,67717.67256614976,247.16889416672348,1251111.4645563664,-0.49964995802247814,3,17
cg,1e-01,9,67540.66316864367,177.00939750608813,1249438.488731373,-0.49964995802247814,3,17
cg,1e-01,10,67360.87463711052,179.7885315331514,1249496.0308388171,-0.49964995802247814,4,17
cg,1e-01,11,67286.72341409589,74.1512230146327,1249844.9718798343,-0.49964995802247814,2,17
cg,1e-01,12,67027.74863890391,258.97477519197855,1248156.396506607,-0.49964995802247814,5,17
cg,1e-01,13,66922.86506219402,104.88357670989353,1247170.1427007352,-0.49964995802247814,2,17
cg,1e-01,14,66890.23966771603,32.625394477989175,1246333.713731122,-0.49964995802247814,2,17
cg,1e-01,15,66624.41648569942,265.8231820166111,1246515.9546740078,-0.49964995802247814,6,17
cg,1e-01,16,66383.1374667685,241.2790189309162,1246758.9449268854,-0.49964995802247814,6,17
cg,1e-01,17,66314.9011506237,68.2363161448011,1246110.9155410277,-0.49964995802247814,1,17
cg,1e-01,18,66241.57170067221,73.32944995148864,1243389.1905388106,-0.49964995802247814,3,17
cg,1e-01,19,66214.12453214826,27.447168523955042,1242934.1070151813,-0.49964995802247814,2,17
cg,1e-01,20,66125.78170683458,88.3428253136808,1243624.4107374083,-0.49964995802247814,1,17
cg,1e-01,21,66056.0016982968,69.78000853778212,1244585.56323134,-0.49964995802247814,2,17
cg,1e-01,22,65871.3339738664,184.66772443038644,1245506.224075435,-0.49964995802247814,4,17
cg,1e-01,23,65862.80958377563,8.524390090780798,1243349.3701442254,-0.49964995802247814,1,17
cg,1e-01,24,65550.0310357414,312.77854803422815,1243757.325481606,-0.49964995802247814,3,17
cg,1e-01,25,65397.230177344434,152.80085839696403,1243937.4794192605,-0.49964995802247814,3,17
